2 1 0
3 2 0
4 3 0
5 3 0
6 5 0
7 6 0
8 6 4 0
9 7 4 2 0
10 6 5 2 0
11 8 5 2 0
12 7 4 3 0
13 9 7 3 0
14 9 7 2 0
15 11 6 3 0
16 10 7 4 0
17 12 8 4 0
18 15 9 4 0
19 13 9 4 0
20 13 9 5 0
21 17 11 5 0
22 16 12 5 0
23 17 11 5 0
24 20 11 5 0
25 18 12 6 0
26 17 13 6 0
27 20 13 7 0
28 21 15 7 0
29 20 14 8 0
30 20 13 8 0
31 23 15 7 0
32 25 15 7 0
33 25 16 8 0
34 24 15 7 0
35 27 17 8 0
36 25 17 8 0
37 28 18 9 0
38 28 20 9 0
39 28 18 9 0
40 29 21 10 0
41 29 19 10 0
42 31 19 10 0
43 33 21 10 0
44 31 22 11 0
45 32 22 10 0
46 33 23 10 0
47 35 24 11 0
48 38 26 13 0
49 35 23 12 0
50 39 24 12 0
51 39 25 12 0
52 37 25 12 0
53 42 29 15 0
54 40 27 13 0
55 41 26 13 0
56 44 31 13 0
57 44 29 14 0
58 43 30 14 0
59 44 30 14 0
60 44 31 16 0
61 48 31 15 0
62 44 32 17 0
63 46 29 14 0
64 45 31 14 0
65 47 33 15 0
66 48 33 16 0
67 49 35 18 0
68 49 33 17 0
69 52 34 17 0
70 52 35 17 0
71 54 35 17 0
72 51 35 18 0
73 56 37 18 0
74 55 38 18 0
75 55 38 19 0
76 59 40 20 0
77 60 42 21 0
78 57 37 18 0
79 59 39 19 0
80 59 43 21 0
81 59 39 20 0
82 61 43 21 0
83 60 42 20 0
84 64 43 22 0
85 61 39 20 0
86 63 44 23 0
87 66 43 21 0
88 63 43 22 0
89 65 43 21 0
90 66 43 21 0
91 67 43 22 0
92 67 44 22 0
93 68 45 23 0
94 69 47 22 0
95 70 46 24 0
96 75 49 25 0
97 74 48 23 0
98 71 50 24 0
99 77 54 26 0
100 72 47 23 0
101 75 52 26 0
102 75 51 26 0
103 76 49 25 0
104 81 53 26 0
105 78 51 26 0
106 80 51 26 0
107 77 50 24 0
108 83 55 28 0
109 81 55 27 0
110 84 55 28 0
111 85 57 28 0
112 80 54 25 0
113 83 57 29 0
114 84 55 27 0
115 85 55 28 0
116 90 61 28 0
117 88 58 29 0
118 87 57 30 0
119 92 61 30 0
120 93 62 32 0
121 92 60 29 0
122 94 61 30 0
123 95 62 31 0
124 95 63 31 0
125 91 62 33 0
126 97 65 32 0
127 95 62 31 0
128 99 62 33 0
129 99 65 33 0
130 96 65 31 0
131 100 65 33 0
132 98 68 33 0
133 101 69 34 0
134 100 67 33 0
135 99 69 34 0
136 99 65 34 0
137 102 68 34 0
138 101 66 33 0
139 100 69 35 0
140 105 72 35 0
141 105 71 36 0
142 105 69 34 0
143 105 71 36 0
144 113 79 37 0
145 107 70 36 0
146 108 75 36 0
147 108 74 38 0
148 113 77 37 0
149 113 77 38 0
150 110 76 37 0
151 112 77 38 0
152 109 69 35 0
153 116 78 39 0
154 115 75 38 0
155 116 77 39 0
156 115 77 38 0
157 116 76 39 0
158 117 77 39 0
159 118 77 40 0
160 117 79 41 0
161 122 82 40 0
162 123 79 40 0
163 120 81 40 0
164 120 78 39 0
165 127 82 40 0
166 128 84 41 0
167 125 82 42 0
168 127 85 42 0
169 129 89 44 0
170 129 87 42 0
171 126 83 42 0
172 128 87 43 0
173 128 85 43 0
174 135 91 45 0
175 130 90 43 0
176 126 83 43 0
177 134 90 45 0
178 136 89 44 0
179 132 85 44 0
180 138 90 43 0
181 136 90 45 0
182 135 92 45 0
183 141 93 46 0
184 144 93 43 0
185 140 96 47 0
186 138 95 48 0
187 143 97 48 0
188 143 97 46 0
189 146 97 47 0
190 139 93 48 0
191 142 93 47 0
192 149 97 46 0
193 143 93 47 0
194 143 96 49 0
195 152 106 53 0
196 145 95 48 0
197 148 98 49 0
198 146 97 50 0
199 150 98 49 0
200 143 100 45 0
201 147 99 52 0
202 153 106 51 0
203 154 101 49 0
204 151 99 51 0
205 153 103 52 0
206 153 101 52 0
207 157 105 51 0
208 155 108 53 0
209 155 104 51 0
210 155 103 53 0
211 156 106 54 0
212 157 106 53 0
213 165 112 54 0
214 161 106 53 0
215 160 105 53 0
216 159 101 53 0
217 165 108 52 0
218 162 107 53 0
219 166 109 55 0
220 167 115 57 0
221 162 107 55 0
222 164 109 56 0
223 165 107 55 0
224 173 110 57 0
225 171 115 58 0
226 170 111 56 0
227 168 113 55 0
228 173 116 58 0
229 174 114 57 0
230 176 120 57 0
231 175 118 57 0
232 177 115 59 0
233 177 117 59 0
234 175 118 59 0
235 173 112 57 0
236 179 123 61 0
237 177 119 59 0
238 177 119 58 0
239 181 121 60 0
240 173 109 55 0
241 181 120 60 0
242 181 123 61 0
243 178 113 58 0
244 184 123 62 0
245 181 120 59 0
246 180 121 57 0
247 187 126 61 0
248 184 121 63 0
249 186 125 63 0
